"siteyear","siteusite","UniqueSite","dataset","Site","Year","Site_Lat","Site_Long","Locality","Region","Management","FamBiomass_tkm2","Closure.age","Closure.size","Atoll","ReefHabitat","Depth","HardCoral","SampMethod","SampArea","TT_market_h","TT_pop_h","reserves","remote_10h","remote_20h","area_name","section","TPBiomass_tkm2","DepthCategory","coords","Prod_mgCm2d_finer","meanSize_cm","total_sp","Grav_tot","remote_20h_inhabited","scraping_potential","Larger","Contact_ID","siteyearusite","SST_dC","SSTanom_dC","mean_tonnes_km2_polygon1","mean_tonnes_km2_polygon2","mean_tonnes_km2_polygon3","mean_tonnes_km2_polygon4","mean_tonnes_km2_polygon5","mean_tonnes_km2_polygon6","mean_tonnes_reported_km2cell","mean_tonnes_km2cell","MGMT_type"
"Lagon Ouest Koné 1655::2004","Lagon Ouest Koné 1655::3788","3788","S","Lagon Ouest Koné 1655",2004,-21.05076,164.65116,"New Caledonia","P","Fished",52.3460531317,NA,NA,0,"Flat",1.7,NA,"Distance sampling",250,4.99444444444445,0.255555555555555,0,0,0,"New Caledonia (France)","status",0,"0-4m","-21.05076_164.65116",320.136083333333,15.0731707317073,43.0699538420145,8,NA,0,"New Caledonia","Provider 7","Lagon Ouest Koné 1655::2004::3788",25.197717666626,0.347502708435059,NA,NA,0,0,0,0,0,0,NA
"Cayo Dattón (cresta) 667::2001","Cayo Dattón (cresta) 667::1638","1638","S","Cayo Dattón (cresta) 667",2001,22.8938889,-79.6794444,"Cuba","C","Restricted",46.199754316,NA,NA,0,"Crest",2.5,NA,"Standard belt transect",600,2.83333333333333,1.11666666666667,0,0,0,"Cuba","status",0.0263420947966102,"0-4m","22.8938889_-79.6794444",283.666666666667,20.1525423728814,20.9528235633938,95,NA,NA,"Cuba","Provider 19","Cayo Dattón (cresta) 667::2001::1638",27.538554986318,-0.0680837631225586,NA,NA,NA,33.2860390246956,3.60240031340694,3.60240031340694,29.8810496611802,33.2860390246956,NA
"Cayo Sigua - Cayo Diego Pérez 1 (profundo) 700::2001","Cayo Sigua - Cayo Diego Pérez 1 (profundo) 700::1676","1676","S","Cayo Sigua - Cayo Diego Pérez 1 (profundo) 700",2001,21.9635167,-81.4624833,"Cuba","C","Restricted",53.04183069057,NA,NA,0,"Slope",9,NA,"Standard belt transect",600,3.925,1.46666666666667,0,0,0,"Cuba","status",0,"4-10m","21.9635167_-81.4624833",283.83725,18.3417721518987,35.4591853106175,65,NA,NA,"Cuba","Provider 19","Cayo Sigua - Cayo Diego Pérez 1 (profundo) 700::2001::1676",28.0622224807739,0.0818471908569336,NA,160.12628279751,160.487653612407,160.487653612407,117.735076272577,3.60240031340694,144.278869334618,160.12628279751,NA
"Cayo Paredón (cresta) 675::2001","Cayo Paredón (cresta) 675::1667","1667","S","Cayo Paredón (cresta) 675",2001,22.4825,-78.1272222,"Cuba","C","Fished",57.0376205576,NA,NA,0,"Crest",2.5,NA,"Standard belt transect",600,3.1,0.833333333333333,0,0,0,"Cuba","status",0,"0-4m","22.4825_-78.1272222",886.442333333333,19.1708860759494,26.2073147785148,60,NA,NA,"Cuba","Provider 19","Cayo Paredón (cresta) 675::2001::1667",27.538554986318,-0.0680837631225586,NA,NA,352.529401935244,1731.37132467196,3.60240031340694,3.60240031340694,174.939887584589,352.529401935244,NA
"Lagon Ouest Koné 1663::2004","Lagon Ouest Koné 1663::3802","3802","S","Lagon Ouest Koné 1663",2004,-21.1096487,164.6921825,"New Caledonia","P","Fished",25.5038180513,NA,NA,0,"Flat",1,NA,"Distance sampling",250,5.03333333333333,0.316666666666667,0,0,0,"New Caledonia (France)","status",0,"0-4m","-21.1096487_164.6921825",315.137916666667,17.7931034482759,23.8150114049949,6,NA,0,"New Caledonia","Provider 7","Lagon Ouest Koné 1663::2004::3802",25.197717666626,0.347502708435059,NA,NA,0,0,0,0,0,0,NA
"E. Cayo Diego Pérez 695::2001","E. Cayo Diego Pérez 695::1755","1755","S","E. Cayo Diego Pérez 695",2001,22.0856667,-81.5701833,"Cuba","C","Restricted",40.15330430987,NA,NA,0,"Slope",9,NA,"Standard belt transect",600,4.15,1.21666666666667,0,0,0,"Cuba","status",0.0586781356891892,"4-10m","22.0856667_-81.5701833",311.86825,18.5337837837838,26.412192857843,60,NA,NA,"Cuba","Provider 19","E. Cayo Diego Pérez 695::2001::1755",28.0622224807739,0.0818471908569336,NA,160.12628279751,160.487653612407,160.487653612407,117.735076272577,3.60240031340694,144.278869334618,160.12628279751,NA
"Lagon Ouest Koné 1669::2004","Lagon Ouest Koné 1669::3816","3816","S","Lagon Ouest Koné 1669",2004,-21.1031847,164.6864643,"New Caledonia","P","Fished",8.874343931,NA,NA,0,"Slope",2,NA,"Distance sampling",250,4.89166666666667,0.191666666666667,0,0,0,"New Caledonia (France)","status",0,"0-4m","-21.1031847_164.6864643",315.137916666667,13.8666666666667,32.3172925364148,9,NA,0,"New Caledonia","Provider 7","Lagon Ouest Koné 1669::2004::3816",25.197717666626,0.347502708435059,NA,NA,0,0,0,0,0,0,NA
"Lagon Ouest Koné 1668::2004","Lagon Ouest Koné 1668::3813","3813","S","Lagon Ouest Koné 1668",2004,-21.08405333,164.6756967,"New Caledonia","P","Fished",38.7044916683,NA,NA,0,"Flat",1,NA,"Distance sampling",250,4.99444444444445,0.255555555555555,0,0,0,"New Caledonia (France)","status",0.202789195423729,"0-4m","-21.08405333_164.6756967",319.530666666667,17.9310344827586,35.3879372063066,8,NA,0,"New Caledonia","Provider 7","Lagon Ouest Koné 1668::2004::3813",25.197717666626,0.347502708435059,NA,NA,0,0,0,0,0,0,NA
"Cayo Anclitas Oeste (Punta Prácticos A) 670::2001","Cayo Anclitas Oeste (Punta Prácticos A) 670::1587","1587","S","Cayo Anclitas Oeste (Punta Prácticos A) 670",2001,20.7984,-78.9567667,"Cuba","C","Fished",90.2343880975,NA,NA,0,"Slope",9,NA,"Standard belt transect",600,5.88333333333333,0.941666666666667,0,0,0,"Cuba","status",0.0400905836222222,"4-10m","20.7984_-78.9567667",337.521,21.8222222222222,43.4684944698069,28,NA,NA,"Cuba","Provider 19","Cayo Anclitas Oeste (Punta Prácticos A) 670::2001::1587",28.095117410024,0.124471664428711,NA,4.26378235239665,4.26378235239665,237.269205731555,117.735076272577,117.735076272577,3.75290205218421,4.26378235239665,NA
"Lagon Ouest Koné 1664::2004","Lagon Ouest Koné 1664::3805","3805","S","Lagon Ouest Koné 1664",2004,-21.11813545,164.7021713,"New Caledonia","P","Fished",41.9433888257,NA,NA,0,"Flat",1,NA,"Distance sampling",250,4.95,0.25,0,0,0,"New Caledonia (France)","status",0,"0-4m","-21.11813545_164.7021713",315.991333333333,15.1195652173913,58.614657949097,6.5,NA,0,"New Caledonia","Provider 7","Lagon Ouest Koné 1664::2004::3805",25.197717666626,0.347502708435059,NA,NA,0,0,0,0,0,0,NA
"Lagon Ouest Koné 1658::2004","Lagon Ouest Koné 1658::3795","3795","S","Lagon Ouest Koné 1658",2004,-21.01718667,164.6206267,"New Caledonia","P","Fished",261.9794764116,NA,NA,0,"Slope",3.9,NA,"Distance sampling",250,5.09444444444445,0.166666666666667,0,0,0,"New Caledonia (France)","status",0,"0-4m","-21.01718667_164.6206267",315.811916666667,16.1764705882353,64.9033342057107,8.33333333333333,NA,0,"New Caledonia","Provider 7","Lagon Ouest Koné 1658::2004::3795",25.197717666626,0.347502708435059,NA,NA,0,0,0,0,0,0,NA
"Cayo Matías 2 (cresta) 712::2001","Cayo Matías 2 (cresta) 712::1665","1665","S","Cayo Matías 2 (cresta) 712",2001,21.5442833,-82.4307833,"Cuba","C","Fished",124.5794142714,NA,NA,0,"Crest",2.5,NA,"Standard belt transect",600,1.48333333333333,0.483333333333333,0,0,0,"Cuba","status",0,"0-4m","21.5442833_-82.4307833",266.624916666667,17.8958333333333,31.1709955891327,31,NA,NA,"Cuba","Provider 19","Cayo Matías 2 (cresta) 712::2001::1665",27.9838557243347,0.0522898038228353,NA,NA,4.26378235239665,160.12628279751,117.735076272577,3.60240031340694,3.75290205218421,4.26378235239665,NA
"Planch'alizé REA084111::2008","Planch'alizé REA084111::5344","5344","S","Planch'alizé REA084111",2008,-21.099,55.22969,"Reunion","I","Fished",38.8363378673667,NA,NA,0,"Slope",12,NA,"Standard belt transect",750,0.916666666666667,0.166666666666667,0,0,0,"RÃ©union (France)","status",0,">10m","-21.099_55.22969",238.30775,15.2658227848101,32.3737266550501,154,NA,104.9163854,"Reunion","Provider 8","Planch'alizé REA084111::2008::5344",26.1267641385396,0.677417119344076,NA,15.9694714727041,15.9694714727041,15.9694714727041,15.9694714727041,15.9694714727041,11.7950855867693,15.9694714727041,NA
"Lagon Ouest Koné 1649::2004","Lagon Ouest Koné 1649::3750","3750","S","Lagon Ouest Koné 1649",2004,-21.00366338,164.608394,"New Caledonia","P","Fished",18.9545714293,NA,NA,0,"Flat",1,NA,"Distance sampling",250,5.09444444444445,0.166666666666667,0,0,0,"New Caledonia (France)","status",0,"0-4m","-21.00366338_164.608394",316.608083333333,13.9807692307692,34.9756975734716,8.33333333333333,NA,0,"New Caledonia","Provider 7","Lagon Ouest Koné 1649::2004::3750",25.197717666626,0.347502708435059,NA,NA,0,0,0,0,0,0,NA
"Médanos Vizcaínos 1 (profundo) 694::2001","Médanos Vizcaínos 1 (profundo) 694::1943","1943","S","Médanos Vizcaínos 1 (profundo) 694",2001,21.7965667,-81.172,"Cuba","C","Restricted",22.4056913254,NA,NA,0,"Slope",9,NA,"Standard belt transect",600,3.9,1.76666666666667,0,0,0,"Cuba","status",0.03108367186,"4-10m","21.7965667_-81.172",278.355916666667,17.79,17.6474569305684,55,NA,NA,"Cuba","Provider 19","Médanos Vizcaínos 1 (profundo) 694::2001::1943",28.0622224807739,0.0818471908569336,NA,NA,160.487653612407,160.487653612407,117.735076272577,3.60240031340694,144.814699539252,160.487653612407,NA
"Punta Francés 1 (profundo) 652::2001","Punta Francés 1 (profundo) 652::2028","2028","S","Punta Francés 1 (profundo) 652",2001,21.6140833,-83.1959833,"Cuba","C","Restricted",100.28210823127,NA,NA,0,"Slope",9,NA,"Standard belt transect",600,1.50833333333333,0.166666666666667,0,0,0,"Cuba","status",0.082630731296875,"4-10m","21.6140833_-83.1959833",286.638166666667,19.74609375,33.6453495622282,69.5,NA,NA,"Cuba","Provider 19","Punta Francés 1 (profundo) 652::2001::2028",27.9838557243347,0.0522898038228353,NA,NA,211.298295454804,211.298295454804,117.735076272577,3.60240031340694,189.548449806978,211.298295454804,NA
"Antón Chico (cresta) 663::2001","Antón Chico (cresta) 663::1468","1468","S","Antón Chico (cresta) 663",2001,22.425,-78.0408333,"Cuba","C","Fished",49.4270914748,NA,NA,0,"Crest",2.5,NA,"Standard belt transect",600,3.30555555555555,0.666666666666667,0,0,0,"Cuba","status",0,"0-4m","22.425_-78.0408333",703.193166666667,21.1666666666667,34.2577214838979,60,NA,NA,"Cuba","Provider 19","Antón Chico (cresta) 663::2001::1468",28.0845850308736,0.172017097473145,NA,NA,352.529401935244,1731.37132467196,3.60240031340694,3.60240031340694,174.939887584589,352.529401935244,NA
"Alizé Plage REA084421::2008","Alizé Plage REA084421::5338","5338","S","Alizé Plage REA084421",2008,-21.34558,55.47233,"Reunion","I","Fished",6.72261141023333,NA,NA,0,"Flat",1,NA,"Standard belt transect",750,1.84166666666667,0.075,0,0,0,"RÃ©union (France)","status",0,"0-4m","-21.34558_55.47233",244.12575,12.2156862745098,52.7047978861532,285,NA,8.455661591,"Reunion","Provider 8","Alizé Plage REA084421::2008::5338",26.1267641385396,0.677417119344076,NA,15.9694714727041,15.9694714727041,15.9694714727041,15.9694714727041,15.9694714727041,11.7950855867693,15.9694714727041,NA
"Punta Francés 2 (cresta) 660::2001","Punta Francés 2 (cresta) 660::2029","2029","S","Punta Francés 2 (cresta) 660",2001,21.59705,-83.1734,"Cuba","C","Restricted",63.1220975819,NA,NA,0,"Crest",2.5,NA,"Standard belt transect",600,1.50833333333333,0.166666666666667,0,0,0,"Cuba","status",0,"0-4m","21.59705_-83.1734",284.847833333333,18.9328358208955,27.1214471427154,69.5,NA,NA,"Cuba","Provider 19","Punta Francés 2 (cresta) 660::2001::2029",27.9838557243347,0.0522898038228353,NA,NA,211.298295454804,211.298295454804,117.735076272577,3.60240031340694,189.548449806978,211.298295454804,NA
"Akumal: Média Luna 710::1999","Akumal: Média Luna 710::1465","1465","S","Akumal: Média Luna 710",1999,20.40219,-87.30298,"Mexico","C","Fished",27.3139541643333,NA,NA,0,"Slope",10.3,NA,"Standard belt transect",180,5.4,0.166666666666667,0,0,0,"Mexico","status",0,">10m","20.40219_-87.30298",599.541416666667,16.9285714285714,18.8349647580812,99,NA,NA,"Mexico","Provider 19","Akumal: Média Luna 710::1999::1465",27.8001413345337,-0.000784079233805339,NA,0.215359389579692,1.53381915699062,1.53381915699062,17.2461138515124,17.2461138515124,0.139131903606229,0.215359389579692,NA
"Cayo Bretón Oeste 678::2001","Cayo Bretón Oeste 678::1604","1604","S","Cayo Bretón Oeste 678",2001,21.0644667,-79.4222833,"Cuba","C","Fished",132.6688283821,NA,NA,0,"Slope",9,NA,"Standard belt transect",600,4.775,2.54166666666667,0,0,0,"Cuba","status",0.265939901526882,"4-10m","21.0644667_-79.4222833",303.239416666667,23.1129032258065,28.8306376404577,33.5,NA,NA,"Cuba","Provider 19","Cayo Bretón Oeste 678::2001::1604",28.095117410024,0.124471664428711,NA,4.26378235239665,4.26378235239665,86.0688305185165,117.735076272577,117.735076272577,3.75290205218421,4.26378235239665,NA
"Ancón (cresta) 671::2001","Ancón (cresta) 671::1466","1466","S","Ancón (cresta) 671",2001,21.7130667,-79.9943333,"Cuba","C","Fished",78.1131615155,NA,NA,0,"Crest",2.5,NA,"Standard belt transect",600,1.7,0.075,0,0,0,"Cuba","status",0,"0-4m","21.7130667_-79.9943333",292.352666666667,21.9787234042553,27.0529702181146,212,NA,NA,"Cuba","Provider 19","Ancón (cresta) 671::2001::1466",28.095117410024,0.124471664428711,NA,NA,25.4886282760102,160.055184764944,117.735076272577,3.60240031340694,22.8323109258607,25.4886282760102,NA
"Cayo Matías 1 (cresta) 691::2001","Cayo Matías 1 (cresta) 691::1663","1663","S","Cayo Matías 1 (cresta) 691",2001,21.5435333,-82.44925,"Cuba","C","Fished",181.1538889709,NA,NA,0,"Crest",2.5,NA,"Standard belt transect",600,1.48333333333333,0.483333333333333,0,0,0,"Cuba","status",0,"0-4m","21.5435333_-82.44925",267.727833333333,19.0454545454545,35.3932659390063,31,NA,NA,"Cuba","Provider 19","Cayo Matías 1 (cresta) 691::2001::1663",27.9838557243347,0.0522898038228353,NA,NA,4.26378235239665,160.12628279751,117.735076272577,3.60240031340694,3.75290205218421,4.26378235239665,NA
"Médanos Vizcaínos 3 (cresta) 692::2001","Médanos Vizcaínos 3 (cresta) 692::1946","1946","S","Médanos Vizcaínos 3 (cresta) 692",2001,21.8333333,-81.2472333,"Cuba","C","Restricted",128.6878226144,NA,NA,0,"Crest",2.5,NA,"Standard belt transect",600,3.61666666666667,1.63333333333333,0,0,0,"Cuba","status",0.0723739498598131,"0-4m","21.8333333_-81.2472333",276.267833333333,19.4579439252336,77.4615950067103,63,NA,NA,"Cuba","Provider 19","Médanos Vizcaínos 3 (cresta) 692::2001::1946",28.0622224807739,0.0818471908569336,NA,26.0503163010289,160.487653612407,160.487653612407,117.735076272577,3.60240031340694,23.4926268350375,26.0503163010289,NA
"Ancón (profundo) 673::2001","Ancón (profundo) 673::1467","1467","S","Ancón (profundo) 673",2001,21.7142167,-79.9995167,"Cuba","C","Fished",13.4071957733,NA,NA,0,"Slope",9,NA,"Standard belt transect",600,1.7,0.075,0,0,0,"Cuba","status",0,"4-10m","21.7142167_-79.9995167",292.352666666667,18.7258064516129,14.8112036143705,212,NA,NA,"Cuba","Provider 19","Ancón (profundo) 673::2001::1467",28.095117410024,0.124471664428711,NA,25.4886282760102,25.4886282760102,160.055184764944,117.735076272577,3.60240031340694,22.8323109258607,25.4886282760102,NA
"Lagon Ouest Koné 1693::2004","Lagon Ouest Koné 1693::3867","3867","S","Lagon Ouest Koné 1693",2004,-21.08561333,164.7571,"New Caledonia","P","Fished",32.0727015909,NA,NA,0,"Slope",4.8,NA,"Distance sampling",250,5.0625,0.354166666666667,0,0,0,"New Caledonia (France)","status",0,"4-10m","-21.08561333_164.7571",315.653416666667,13.4324324324324,24.6912980130033,7,NA,0,"New Caledonia","Provider 7","Lagon Ouest Koné 1693::2004::3867",25.197717666626,0.347502708435059,NA,NA,0,0,0,0,0,0,NA
"Lagon Ouest Koné 1652::2004","Lagon Ouest Koné 1652::3772","3772","S","Lagon Ouest Koné 1652",2004,-21.05073,164.6231167,"New Caledonia","P","Fished",5.220357537,NA,NA,0,"Flat",1,NA,"Distance sampling",250,4.99444444444445,0.255555555555555,0,0,0,"New Caledonia (France)","status",0,"0-4m","-21.05073_164.6231167",320.136083333333,12.6538461538462,19.4012482009266,8,NA,0,"New Caledonia","Provider 7","Lagon Ouest Koné 1652::2004::3772",25.197717666626,0.347502708435059,NA,NA,0,0,0,0,0,0,NA
"Lagon Ouest Koné 1680::2004","Lagon Ouest Koné 1680::3837","3837","S","Lagon Ouest Koné 1680",2004,-21.01774597,164.6248474,"New Caledonia","P","Fished",68.0515715246,NA,NA,0,"Slope",3.8,NA,"Distance sampling",250,4.975,0.225,0,0,0,"New Caledonia (France)","status",0,"0-4m","-21.01774597_164.6248474",315.811916666667,16.1734693877551,125.675241919146,9,NA,0,"New Caledonia","Provider 7","Lagon Ouest Koné 1680::2004::3837",25.197717666626,0.347502708435059,NA,NA,0,0,0,0,0,0,NA
"Lagon Ouest Koné 1653::2004","Lagon Ouest Koné 1653::3774","3774","S","Lagon Ouest Koné 1653",2004,-21.0428133,164.6373444,"New Caledonia","P","Fished",161.6940050509,NA,NA,0,"Flat",1,NA,"Distance sampling",250,4.99444444444445,0.255555555555555,0,0,0,"New Caledonia (France)","status",0,"0-4m","-21.0428133_164.6373444",330.635333333333,17.4890510948905,55.116706336125,8,NA,0,"New Caledonia","Provider 7","Lagon Ouest Koné 1653::2004::3774",25.197717666626,0.347502708435059,NA,NA,0,0,0,0,0,0,NA
"Alizé Plage REA084422::2008","Alizé Plage REA084422::5339","5339","S","Alizé Plage REA084422",2008,-21.34857,55.47102,"Reunion","I","Fished",9.1661335327,NA,NA,0,"Slope",12,NA,"Standard belt transect",750,1.84166666666667,0.075,0,0,0,"RÃ©union (France)","status",0,">10m","-21.34857_55.47102",242.883416666667,13,39.2508079542496,285,NA,0,"Reunion","Provider 8","Alizé Plage REA084422::2008::5339",26.1267641385396,0.677417119344076,NA,15.9694714727041,15.9694714727041,15.9694714727041,15.9694714727041,15.9694714727041,11.7950855867693,15.9694714727041,NA
"S.E. Cayo. Diego Pérez (profundo) 661::2001","S.E. Cayo. Diego Pérez (profundo) 661::2044","2044","S","S.E. Cayo. Diego Pérez (profundo) 661",2001,21.9878667,-81.4756333,"Cuba","C","Restricted",58.35244829785,NA,NA,0,"Slope",9,NA,"Standard belt transect",600,3.8,1.28333333333333,0,0,0,"Cuba","status",0.0489450790430108,"4-10m","21.9878667_-81.4756333",286.579083333333,18.0215053763441,30.8284919476576,69,NA,NA,"Cuba","Provider 19","S.E. Cayo. Diego Pérez (profundo) 661::2001::2044",28.0622224807739,0.0818471908569336,NA,160.12628279751,160.487653612407,160.487653612407,117.735076272577,3.60240031340694,144.278869334618,160.12628279751,NA
"La Ciénaga 4::2009","La Ciénaga 4::2958","2958","S","La Ciénaga 4",2009,10.479722,-67.808611,"Venezuela","C","Restricted",282.5208484176,NA,NA,0,"Slope",5,NA,"Point intercept",785.4,0.85,0.2,0,0,0,"Venezuela","status",0,"4-10m","10.479722_-67.808611",354.16025,25,39.3851367800826,852,NA,934.0875692,"Venezuela","Provider 26","La Ciénaga 4::2009::2958",28.3483287493388,1.13596979777018,NA,457.753784761157,3.06464528495811,3.06464528495811,3.06464528495811,3.06464528495811,409.316482196084,457.753784761157,NA
"Lagon Ouest Koné 1690::2004","Lagon Ouest Koné 1690::3862","3862","S","Lagon Ouest Koné 1690",2004,-21.24083333,164.7729667,"New Caledonia","P","Fished",17.4352315085,NA,NA,0,"Flat",1.7,NA,"Distance sampling",250,4.61666666666667,0.45,0,0,0,"New Caledonia (France)","status",0,"0-4m","-21.24083333_164.7729667",320.0045,14.4074074074074,26.655805576835,5.5,NA,0,"New Caledonia","Provider 7","Lagon Ouest Koné 1690::2004::3862",25.197717666626,0.347502708435059,NA,NA,NA,0,0,0,0,0,NA
